"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","5258","","418","","174","","95","","7257",""
"Mitt Romney","REP","President - Vice Pres","","","","6392","","335","","73","","54","","7976",""
"Gary Johnson","LIB","President - Vice Pres","","","","91","","9","","2","","2","","116",""
"Jill Stein","GRN","President - Vice Pres","","","","55","","2","","3","","1","","68",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Richard Duncan","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Virgil Goode","CON","President - Vice Pres","","","Y","2","0","0","","0","","0","","2",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
